name,url,phone,email,address,placeId
Big Plate,https://www.google.com/maps/search/?api=1&query=Big%20Plate&query_place_id=ChIJmTyPwWxb4joRWXXw2m-0d-g,+94 77 779 9400,,"No 32, 8th Lane Kollupitiya, Colombo, 03 Marine Drive, Face 00300, Sri Lanka",ChIJmTyPwWxb4joRWXXw2m-0d-g
SunsetBlu,https://www.google.com/maps/search/?api=1&query=SunsetBlu&query_place_id=ChIJ9WNl2rJZ4joRHMJkjXkhyac,+94 112 492 492,,"Lotus Rd, Colombo 00100, Sri Lanka",ChIJ9WNl2rJZ4joRHMJkjXkhyac
Chill Colombo,http://www.chillcolombo.com/,+94 112 335 428,,"Port City, Down Town Duty Free Mall, Chaithya Rd, Colombo 00100, Sri Lanka",ChIJM7y7ZQBZ4joRi0mS3mQy6co
